,message,created_time
418,"And yet at the same time plummeting towards becoming a third world country full of debt, strikes and food banks 😡",2023-01-18T08:09:47+0000
424,"People still won't be satisfied and will still moan! This country is full of victims with the wrong mentality. Instead of finding a way to be apart of the growth they want to find a way to put it down or take from it.   Great job Rishi, keep up the good work👍",2023-01-18T11:36:42+0000
425,I suppose this morning's snow is down to Brexit is it? 🤣🇬🇧,2023-01-18T08:59:43+0000
428,Vote Labour 🗳,2023-01-18T09:41:57+0000
430,What would the opposition do???? If everyone was self employed life would be different…. It’s a culture of handouts 😡😡,2023-01-18T20:13:45+0000
461,ow if you could just ensure they were paid properly and had decent conditions🤔🤔,2023-01-17T19:37:37+0000
471,"Conservatives are trying to takeaway all of our rights, quite happy for huge companies like P & O to sack all their staff and March people in on a fraction of the wages, no sick pay, less holidays etc… that’s the world they want! They can find billions for bogus contracts to give to theirs pals,but not to give hard working people an honest pay rise 🤷‍♂️ People need to wake up!",2023-01-17T09:35:49+0000
488,Well of course they did!! Labour are bankrolled by the Unions so the Unions call the shots!!! Nothing new!🙄🙄,2023-01-17T13:07:18+0000
494,Mick Lynch for PM 🗳️,2023-01-16T22:46:09+0000
499,"Yes how awful, Labour standing up for workers rights! Imagine how much more corrupt you Tories will become once you can shaft the workers even more 🤔",2023-01-16T23:14:24+0000
500,Labour are on the side of the workers unlike this hard right wing Tory government who are to blame for the mess we are in 😡,2023-01-16T23:24:23+0000
502,Yes we do know why because the Tory’s are shafting every hard working person 🤬,2023-01-17T18:12:38+0000
509,A lot of champagne socialists here and don’t understand politics and what’s going on in the world!🤦‍♂️,2023-01-17T08:48:43+0000
513,He couldn't run a bath 😂😂😂😂😂,2023-01-16T22:42:46+0000
516,I wish he was running the show! The only issue I have is that he is (or was) a Brexiteer which doesn’t make sense given his role. The EU have a lot of legislation to protect workers rights🤷‍♂️….all of which the tories want to put on the bonfire according to ReesFogg.,2023-01-17T10:28:20+0000
522,"To currently cover minimum levels in the nhs they have to use agency staff, lots of agency  staff. So I'm curious to see what the plan is for future strike days when you can't even cover it now. 🤔",2023-01-16T19:05:06+0000
537,Great! Minimum service levels would be a great start to ensuring that patients have the correct number of staff available per shift. Is your plan that this happens everyday or just when staff strike? Because I feel you have a duty to make sure it's every day.   The staff will be very pleased to know that you'll be providing extra staff to achieve this! Maybe everyday needs to be a strike day! 🙂,2023-01-19T09:18:35+0000
539,"Protecting patients, commuters and keeping children in school by running down the services and putting more and more pressure on the workers.. uhmmmm 🤔😔",2023-01-18T09:57:06+0000
545,Good work 👏   People have the right to strike from work if they wish but they shouldn't be allowed to stop others from working. This should have been done years ago,2023-01-16T13:38:13+0000
556,Disgusting you have no respect for working people i hate this money business power government  they are not being fair 😡,2023-01-30T23:31:28+0000
566,"Great News..About Time ,Stupid idiots, waste our time & don't get anywhere. 👍👍👍",2023-01-17T11:44:27+0000
574,"What about minimum levels on non strike days? Political games , by a government that has no sense of the nation’s mood - and resorts to ‘bully boy’ tactics. ☹️",2023-01-16T08:45:25+0000
591,"“We won’t let Labour-backed unions grind Britain to a halt”  Aye,  you’re doing that all by yourselves 🤷‍♀️",2023-01-16T08:46:54+0000
602,And can we get an ambulance to someone who’s had a heart attack on time? I think you’ll find the average person cares much more about that 😡,2023-01-14T17:27:33+0000
603,That’s good flash it all over news and social media ! Whatever happened to keeping things private to keep the enemy guessing 😡,2023-01-14T13:55:31+0000
604,🤦🏼 another bad decision from our brilliant government !,2023-01-14T13:37:38+0000
617,LOL. It’ll be interesting to see how your neglect of domestic matters will fly with voters at the next general election. I suspect that we shall find serious discrepancies between your priorities and ours. The clock is ticking 😉😉,2023-01-15T13:17:36+0000
625,Rejoini-smacks will be desperately scrabbling around the internet searching for something negative in a pathetic attempt to try save face 🤣🤣🤣,2023-01-13T13:55:47+0000
628,"We need all the help we can get,well done ✅",2023-01-13T14:48:38+0000
630,NHS failing. Transport networks crippled. School system broken. Economy crashing. Cost of living skyrocketing. Energy sector a shambles. People are unhappy. 13 years of Tories caused this. But at least london has a lot of tech funding! 👏,2023-01-15T16:21:03+0000
631,While northern coastal towns looking to become top European destination for hotels housing illegal immigrants 😂,2023-01-13T14:01:01+0000
639,Strange really when the remoaners were ALL saying that the City was Doomed! Doomed! Doomed I tell you☺,2023-01-13T14:44:10+0000
649,"And when it's all done, Sturgeon will still want independance from us 🤣🤣🤣🤣🤣",2023-01-13T13:25:11+0000
653,How about build 2 new border protection depots on the south coast 😂,2023-01-13T16:07:30+0000
676,This tiny increase had nothing to do with anything you did! 😂 It was the World Cup! But whatever. I guess you need all the good press you can get right now.,2023-01-13T13:20:53+0000
677,"Yes only because the world cup was on and it was a meager 0.1% increase, small achievements for a soon to be small party 😂",2023-01-13T11:54:49+0000
680,Congratulating yourselves for things not getting worse 👏,2023-01-13T11:29:31+0000
683,"Fantastic work Conservatives! It was a work of genius to introduce Christmas shopping and a World Cup drinking session as part of your manifesto. Maybe we could make it an annual thing where everyone spends loads of their yearly savings over the space of a few weeks? That international football competition drinking session would probably have to be every other year though, I’m not sure the nations livers could take it. Again though, inspired thinking to get that MASSIVE 0.1% growth!! Keep up the spectacular job you are doing and keep that blue sky thinking coming our way! 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻",2023-01-13T23:42:07+0000
695,Keeping the economy barely alive yeah great. 👏,2023-01-13T11:39:24+0000
703,I don’t know why people think this deserves a 😂 emoji!!  And funny how they’re all male!! Guess what??!! Men can get it as well!!  This is fantastic news for families,2023-01-12T17:10:07+0000
717,"I have a maths question for our unelected PM…  If you promise five thousand new/ extra nurses, and four thousand resign, because of the ideology of this right wing government, and poor conditions, lack of pay and funding… HOW meany do you really need 🤦‍♂️",2023-01-13T12:59:30+0000
732,"Lost the plot, but really has never had one. 💙🇬🇧",2023-01-12T16:01:17+0000
737,Brexit it IS. 👏👏👏👏,2023-01-12T16:08:27+0000
740,Going well this brexit lark isnt it? 😅😅😅,2023-01-12T20:26:03+0000
746,Move on and stop holding us to account for the mess Brexit has made of our once great country!! 🤫🇬🇧🇪🇺,2023-01-12T16:18:55+0000
771,Can you defund the leftist BBC 👍,2023-01-12T10:08:31+0000
776,Fix lol 😂 you can’t fix your own shoe laces we see more corruption in this government government ministers having to pay 3 million tax back to hmrc 😆😆😆😆,2023-01-20T18:39:09+0000
784,"""Oh no he didn't""  Just like he didn't party in Durham🤣🤣🤣🤣",2023-01-11T17:53:17+0000
794,Yep - but the Toerags main thrust is to teach Maths until 18 ! Bold and brave.🤣🤣🤣🤣🤣,2023-01-11T17:59:13+0000
797,"Starmer is on the wrong side of every argument and that’s why he has no policies and having accepted this money, few principles!  Other than opposing Brexit, nobody knows what he stands for because if he told us, people wouldn’t vote for  his version of North London wokery.  Labour stopped representing our communities a long time ago 🥀",2023-01-15T09:46:14+0000
799,Coming from the actual cesspit that is the Tory party. I don’t even know where to start with this 🤦🏻‍♂️,2023-01-11T22:54:13+0000
805,Japanese troops on our streets? What could possibly go wrong.😂,2023-01-11T17:21:19+0000
808,Yet you struggle to prevent civilians in rubber dinghies from crossing a short stretch of the English Channel 😄😄,2023-01-11T17:51:39+0000
813,This is all about UK and Japan combining on development of next gen fighter jets. A good deal for both countries 🙂,2023-01-12T07:45:31+0000
818,"That's really going to help the poor people who you have created over the last 10 years, you rich people don't have a clue about the reality of austerity and holding pay back for years, doctors, nurses full time working people having to use food banks due to your plans to get rid of the debt making us all worse off than when you started !!! And your plan🤔get the debt down and keep wages down 🤔 sounds familiar, unless the deal done with Japan is going to help ? 🤔. Clueless absolutely clueless.",2023-01-12T16:56:12+0000
822,Wow switched the comments from most relevant which had 4 comments to all are the Conservatives trying to hide the comments section now 😂😂,2023-01-11T17:23:33+0000
825,He looks nervous … he looks like a man that’s thinking he may have just poked the fire 😂 that’s Far Eastern Europe covered and far Western Asia ticked … I’ll go grab some popcorn and watch the squeeze 😬,2023-01-11T21:46:05+0000
838,This is the *best* parody page on FB! 🤡,2023-01-11T21:36:50+0000
863,Sadly the Tory party have asset-stripped the country 😥,2023-01-09T20:48:51+0000
867,Wonder if he's shook the hands of all the people outside that have been queueing in Ambulances for 6 hours!! 😡😡,2023-01-09T21:41:07+0000
870,"Please help the nurses. They pay to go to uni, have to work for free for three years then start on 27k working nights and 12hr shifts. 😧",2023-01-09T17:47:03+0000
873,How will he staff them 🤔,2023-01-09T17:53:24+0000
880,We have a magic hospital tree bed too!😂,2023-01-09T18:05:52+0000
884,Think Rishi needs to go do some maths classes at least its a start after 12 yrs of underfunding way too late though especially as he wasted 37 billion on a pink elephant called track and trace how much could the 37 billion funded alone in the NHS he should be held accountable allowing such a huge figure of wasted tax payers money 💰 thing he needs maths lessons himself an be held accountable for his mistake as chancellor,2023-01-09T13:49:38+0000
890,"Clearly l am living in a parallel universe to our PM. Where l live there are no places in care homes, there are insufficient care workers to cope with homes and residents that exist at the moment and there are insufficient carers to enable people to return to their own homes🤔",2023-01-09T17:34:15+0000
891,Not that hard. Just re open those regional ( cottage ) hospitals closed a few years ago and many of which are sitting there empty and unused !! Why can't government see the simple solutions that are staring at them and everyone else can see 👀👀,2023-01-09T13:39:37+0000
895,"I've voted Conservative for over 50 years, never again while that rat 🐀 is PM. Just pay the nurse's and stop the graduate policy of nursing and get back to it being a vocation. Pay the front line fit wages.",2023-01-09T13:34:04+0000
908,"Happy Christmas to everyone May this Christmas fill the heart and home of people with Joy, love and good health 🙏🏽❤️💐.",2023-01-07T10:25:42+0000
909,"Why just them? Christianity insists ""Love thy neighbour?"" Treat others as you would have done to yourself? That would seem to exclude every member of the Tory Government? 🤬",2023-01-07T21:12:37+0000
911,Thank you very much!  It is highly appreciated.😊,2023-01-08T07:33:16+0000
920,Merry Christmas to all the Christian believers in the world ❤️❤️❤️,2023-01-07T15:34:00+0000
922,Amen 🙏,2023-01-07T18:34:50+0000
923,Merry Christmas🎄from 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇵🇭,2023-01-07T14:55:06+0000
931,Martin Sharp 😄,2023-01-07T09:41:13+0000
936,Oh thank goodness for that! We were all really worried about all those people buying new builds having a dodgy internet connection...🙄,2023-01-06T14:09:36+0000
939,I wish you responded to your other mistakes as quickly as you responded to this one!!!!! 😂😂😂,2023-01-06T13:44:24+0000
942,Such a pity that people listened to JOHNSON in 2019! We would ALL have had free broadband if we had voted for Corbyn instead. It’s amazing that Tories are such slow learners.  Now we are stuck with the Chaotic Cons! 😢,2023-01-07T17:31:14+0000
956,Wow that’s way up there on my important list not 😂😂😂😂,2023-01-06T16:15:06+0000
961,Everyone of those items are listed areas that the Conservatives have failed to deliver and have infact made worse. Stop deflecting I am not fooled 😡,2023-01-05T18:21:41+0000
971,This constant criticism of others isn’t really working is it 🤷🏻‍♀️ best to get your own house in order first before trying to censure others .. this is what improves your validity.,2023-01-06T09:31:12+0000
973,I didn’t realise keir was in charge?? 😮,2023-01-05T17:49:19+0000
990,I am 55 Year old and through various  Governments I have never seen this country in such an appalling state. The Conservatives need to take responsibility for that. Stop blaming others that haven't been in power. Tell the truth instead of all the spin. I just don't believe or trust them anymore. Defection and blaming everyone else is their strategy. Get real 😡,2023-01-05T11:52:05+0000
993,This is a bit rich from a Government who can’t stop the dinghy invasion! 😡,2023-01-05T12:00:25+0000
1000,You’ve had 3 in the past couple of months so I would keep quiet if I were you lot 🙈😡😡,2023-01-05T18:49:48+0000
1023,Rishi OUR PRIORITIES  for U.K  bright and blessed future 🙏,2023-01-05T11:19:05+0000
1025,Is this a parady 😂,2023-01-05T11:59:07+0000
1027,LOL. What you meant to say was “our priorities are your priorities” 😉😉,2023-01-05T11:00:02+0000
1028,😏 Nah …. Rishi has never worried a about a gas and electricity bill 📃,2023-01-05T19:27:54+0000
1031,I’d like to know how these 5 things became my priority. 🤔,2023-01-05T11:04:39+0000
1032,Unless you're a nurse or a Train worker 🤣,2023-01-05T13:08:12+0000
1042,You are taking about solving the five problems you created as through you are doing us a favour 😡,2023-01-05T07:09:03+0000
1044,Chronic underfunding of the NHS is not an unexpected‘crisis’ It is deliberate sabotage 😡,2023-01-05T23:27:01+0000
1051,"How long will this take? 13 years? 🤷 Totally removed from reality, Rishi Sunak delivers yet another set of hollow slogans to justify his sickeningly high pay grade while pensioners lay on trolleys in hospital corridors for 24 hours at a time.",2023-01-07T18:22:17+0000
1058,"We need to do what the Athenians used to do, All public officials faced an audit when they left office, and corrupt and/or incompetent ones were punished with exile or execution.  We need that bringing back. 😡",2023-01-07T14:11:40+0000
1076,"How many more years do we have to wait for the Government to resolve the Social Care crisis? And the elderly patients are NOT BED BLOCKERS! They are sick people who have no support when they leave hospital! The elderly are treated as second class citizens in this country. An inconvenience! Stop throwing money at the NHS. The management are not accountable for how it is spent. Still creating overpaid 'box ticking' posts and painting rainbow crossings! None of this helps the patients and the nurses who are struggling to look after them! And what happened to your promise to FINE patients who abuse the NHS by not attending GP and hospital appointments? Do you know how much it has cost? Yes, of course the A & E Depts. are under pressure because hundreds of them have closed completely or are not open 24/7 and the population is out of control! What happened to the fairy story about 40 new hospitals by 2030? Why don't you tell people that this does not mean NEW HOSPITALS, or a major refurbishment and alteration. It may be a major new clinical building on an existing site or a new wing of an existing hospital . Where will you find the doctors, nurses and GP's. ? It will never happen! And how much money have you written off from the furlough scheme that paid people for staying at home? A 5 point plan, a 10 point plan - no one is listening any longer because they do not believe it will happen, especially the small boat issue and the NHS. 😈",2023-01-04T17:08:29+0000
1080,"Reform guys, Reform.. ✔️",2023-01-04T20:47:39+0000
1083,"When you deliver on your promises, perhaps the electorate will trust you again.🤔",2023-01-04T19:16:12+0000
1095,"Believe it when I see it, all governments are full of promises that they dont keep, so ill not hold my breath 😡",2023-01-04T17:53:58+0000
1096,Yeah Whatever all I’ve seen the tories do over the last couple of years is help the rich get richer and the poor get poorer which I find very hard to swallow due to the fact I’ve voted Tory for the last 30 years 😡,2023-01-04T16:39:13+0000
1120,Well done Rishi 👍,2023-01-04T15:47:06+0000
